,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
217,210.0,Cook Islands,7203,,2.0,,7150.0,,51.0,,409937.0,114.0,19690.0,1120596.0,17571.0,Australia/Oceania,2.0,8786.0,1.0,,,2903
218,211.0,Sao Tome and Principe,6778,,80.0,,6685.0,,13.0,,29770.0,351.0,29600.0,130008.0,227679.0,Africa,34.0,2846.0,8.0,,,57
219,212.0,Turks and Caicos,6752,,40.0,,6709.0,,3.0,4.0,169900.0,1007.0,616788.0,15520193.0,39741.0,North America,6.0,994.0,0.0,,,75
220,213.0,Saint Kitts and Nevis,6607,,48.0,,6559.0,,0.0,,122645.0,891.0,126958.0,2356704.0,53871.0,North America,8.0,1122.0,0.0,,,
221,214.0,Palau,6290,,10.0,,6276.0,,4.0,,344979.0,548.0,71434.0,3917841.0,18233.0,Australia/Oceania,3.0,1823.0,0.0,,,219
222,215.0,St. Barth,5507,,6.0,,,,,,553746.0,603.0,78646.0,7908095.0,9945.0,North America,2.0,1658.0,0.0,,,506687
223,216.0,Nauru,5393,,1.0,,5347.0,,45.0,,494635.0,92.0,20509.0,1881042.0,10903.0,Australia/Oceania,2.0,10903.0,1.0,,,4127
224,217.0,Kiribati,5085,,24.0,,2703.0,,2358.0,3.0,41201.0,194.0,,,123419.0,Australia/Oceania,24.0,5142.0,,,,19106
225,218.0,Anguilla,3904,,12.0,,,,,,256336.0,788.0,51382.0,3373736.0,15230.0,North America,4.0,1269.0,0.0,,,854
226,219.0,Wallis and Futuna,3550,,8.0,,438.0,,3104.0,,323256.0,728.0,20508.0,1867419.0,10982.0,Australia/Oceania,3.0,1373.0,1.0,,,282644
